BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DecadeBuilt,NoBuildings,NoFloors,pct_SteamUse,pct_Electricity,pct_NaturalGas,pct_OtherFuelUse
NonResidential,Retail Store,Downtown,1917,1.0,2.0,147545,59.0,118.4,8210370.0,0.0,4231639.0,2964732.0,0.0,186.96,1.14,1910s,,2-5,0.0,51.54,36.11,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1979,1.0,1.0,31600,2.0,233.8,3723542.0,0.0,1665037.0,1448444.0,0.0,88.53,2.58,1980s,,0-1,0.0,44.72,38.9,0.0
NonResidential,Large Office,Magnolia / queen anne,2010,1.0,6.0,920598,93.0,133.0,38835684.0,0.0,28483019.0,8199352.0,0.0,634.03,0.56,2010s,,6-10,0.0,73.34,21.11,0.0
NonResidential,Distribution Center,Greater duwamish,1998,1.0,1.0,35579,60.0,64.5,1320572.0,0.0,422068.0,603609.0,0.0,35.0,0.93,2000s,,0-1,0.0,31.96,45.71,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,1961,1.0,3.0,29392,91.0,86.7,942012.0,0.0,671375.0,148031.0,0.0,12.54,0.33,1960s,,2-5,0.0,71.27,15.71,0.0
NonResidential,Other,Northwest,2009,1.0,1.0,20909,50.0,130.5,1117712.0,0.0,627589.0,423473.0,0.0,26.87,1.16,2010s,,0-1,0.0,56.15,37.89,0.0
NonResidential,Other,Greater duwamish,2009,1.0,1.0,36400,,94.6,1589542.0,0.0,818382.0,740000.0,0.0,45.01,1.14,2010s,,0-1,0.0,51.49,46.55,0.0
NonResidential,Other,Greater duwamish,1939,1.0,2.0,58492,,59.1,1767017.0,0.0,765949.0,1001099.0,0.0,58.51,0.94,1940s,,2-5,0.0,43.35,56.65,0.0
NonResidential,Large Office,Downtown,1922,1.0,15.0,388934,84.0,159.2,20309614.0,957322.0,19353098.0,0.0,0.0,208.81,0.32,1920s,,11-15,4.71,95.29,0.0,0.0
NonResidential,Other,Northeast,1912,1.0,2.0,25767,19.0,303.1,1682672.0,0.0,1644301.0,0.0,0.0,11.46,0.17,1910s,,2-5,0.0,97.72,0.0,0.0
NonResidential,Other,Lake union,2003,1.0,4.0,241159,,538.5,41433784.0,0.0,25279926.0,14904547.0,0.0,967.81,3.56,2000s,,2-5,0.0,61.01,35.97,0.0
NonResidential,Mixed Use Property,Lake union,2001,1.0,3.0,41827,,234.0,4345708.0,0.0,2499034.0,1749154.0,0.0,110.32,2.38,2000s,,2-5,0.0,57.51,40.25,0.0
NonResidential,Small- and Mid-Sized Office,Central,1947,1.0,1.0,45068,100.0,12.8,289791.0,0.0,131065.0,138944.0,0.0,8.29,0.17,1940s,,0-1,0.0,45.23,47.95,0.0
NonResidential,Other,Lake union,1999,1.0,4.0,115748,,754.7,36803004.0,0.0,17857273.0,19420391.0,0.0,1155.9,9.32,2000s,,2-5,0.0,48.52,52.77,0.0
NonResidential,Self-Storage Facility,Magnolia / queen anne,1980,1.0,3.0,30989,,9.7,95544.0,0.0,95548.0,0.0,0.0,0.67,0.01,1980s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Mixed Use Property,Northeast,1998,1.0,1.0,20233,,66.9,619192.0,0.0,337059.0,214756.0,0.0,13.76,0.61,2000s,,0-1,0.0,54.44,34.68,0.0
NonResidential,Mixed Use Property,East,2004,1.0,4.0,77412,,198.9,2919702.0,0.0,2760457.0,47241.0,0.0,21.75,0.13,2000s,,2-5,0.0,94.55,1.62,0.0
NonResidential,Small- and Mid-Sized Office,Ballard,1978,1.0,2.0,28492,9.0,182.6,2055622.0,0.0,1456421.0,599262.0,0.0,41.98,1.25,1980s,,2-5,0.0,70.85,29.15,0.0
NonResidential,Large Office,Downtown,1969,1.0,49.0,1123435,88.0,161.1,51103256.0,0.0,38999312.0,8150777.0,0.0,704.76,0.48,1970s,,41-50,0.0,76.31,15.95,0.0
NonResidential,Large Office,Downtown,1909,1.0,7.0,114395,98.0,82.1,3436894.0,0.0,2067509.0,1031215.0,0.0,69.18,0.53,1900s,,6-10,0.0,60.16,30.0,0.0
NonResidential,Other,Greater duwamish,1937,1.0,1.0,20975,,38.1,275420.0,0.0,240663.0,27616.0,0.0,3.14,0.1,1930s,,0-1,0.0,87.38,10.03,0.0
NonResidential,Large Office,Greater duwamish,2005,1.0,4.0,162157,,712.5,40268260.0,0.0,34844176.0,4218629.0,0.0,466.95,1.96,2010s,,2-5,0.0,86.53,10.48,0.0
NonResidential,Other,Downtown,1930,1.0,2.0,22710,,38.5,278741.0,0.0,278752.0,0.0,0.0,1.94,0.03,1930s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1924,1.0,4.0,63150,67.0,166.1,2982178.0,0.0,2659391.0,322897.0,0.0,35.69,0.38,1920s,,2-5,0.0,89.18,10.83,0.0
SPS-District K-12,Educational Building,North,1949,1.0,2.0,160645,80.0,77.2,8362498.0,0.0,1709681.0,4678100.0,0.0,260.37,1.58,1950s,,2-5,0.0,20.44,55.94,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,1981,1.0,3.0,26694,95.0,86.9,689369.0,0.0,654691.0,0.0,0.0,4.56,0.07,1980s,,2-5,0.0,94.97,0.0,0.0
NonResidential,Educational Building,East,2014,1.0,2.0,35780,67.0,135.3,2159901.0,0.0,1375705.0,691017.0,0.0,46.29,1.13,2010s,,2-5,0.0,63.69,31.99,0.0
Campus,Other,Lake union,1997,3.0,5.0,535947,,546.4,146248640.0,0.0,69147767.0,67096519.0,0.0,4045.53,6.99,2000s,2-10,2-5,0.0,47.28,45.88,0.0
NonResidential,Worship Facility,Northeast,1927,1.0,3.0,41013,,76.0,1471335.0,0.0,512843.0,758449.0,0.0,43.86,1.02,1920s,,2-5,0.0,34.86,51.55,0.0
NonResidential,Other,Greater duwamish,1994,1.0,2.0,54170,,218.4,5658884.0,0.0,2817442.0,2640649.0,0.0,159.89,2.73,1990s,,2-5,0.0,49.79,46.66,0.0
NonResidential,Mixed Use Property,Downtown,1900,1.0,3.0,22480,,109.4,1003659.0,0.0,1003701.0,0.0,0.0,7.0,0.12,1900s,,2-5,0.0,100.0,0.0,0.0
NonResidential,Large Office,Downtown,1911,1.0,17.0,116640,52.0,192.6,7090985.0,1648136.0,5149604.0,0.0,0.0,163.11,1.21,1910s,,16-20,23.24,72.62,0.0,0.0
NonResidential,Senior Care Community,Downtown,1999,1.0,5.0,102796,,273.0,10902412.0,0.0,7949519.0,2671438.0,0.0,197.3,1.59,2000s,,2-5,0.0,72.92,24.5,0.0
NonResidential,Small- and Mid-Sized Office,Northeast,2001,1.0,6.0,91706,3.0,421.6,7654264.0,0.0,7654580.0,0.0,0.0,53.36,0.22,2000s,,6-10,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1948,1.0,1.0,53620,88.0,115.8,2131755.0,0.0,1832760.0,166083.0,0.0,21.6,0.26,1950s,,0-1,0.0,85.97,7.79,0.0
NonResidential,Refrigerated Warehouse,Greater duwamish,1969,1.0,1.0,71718,,2.9,93802.0,0.0,93806.0,0.0,0.0,0.65,0.0,1970s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Medical Office,Northeast,1988,1.0,4.0,196749,6.0,408.1,19946232.0,0.0,11456788.0,7780457.0,0.0,493.09,2.26,1990s,,2-5,0.0,57.44,39.01,0.0
NonResidential,Worship Facility,East,1962,1.0,3.0,37796,48.0,110.0,3295798.0,1578661.0,919179.0,228467.0,0.0,140.4,3.61,1960s,,2-5,47.9,27.89,6.93,0.0
NonResidential,Large Office,Downtown,1983,1.0,15.0,378002,84.0,188.8,18635778.0,0.0,15056355.0,2516578.0,0.0,238.61,0.46,1980s,,11-15,0.0,80.79,13.5,0.0
SPS-District K-12,Educational Building,Southwest,2005,1.0,3.0,134918,92.0,85.2,4466541.0,0.0,2927362.0,845800.0,0.0,65.33,0.39,2010s,,2-5,0.0,65.54,18.94,0.0
NonResidential,Non-Refrigerated Warehouse,Downtown,1912,1.0,5.0,154330,79.0,50.5,1532735.0,0.0,1250721.0,0.0,0.0,8.72,0.02,1910s,,2-5,0.0,81.6,0.0,0.0
NonResidential,Educational Building,Northeast,1928,1.0,2.0,55653,84.0,51.3,2690623.0,0.0,10580.0,1992894.0,0.0,105.92,1.9,1920s,,2-5,0.0,0.39,74.07,0.0
NonResidential,Supermarket/Grocery Store,Ballard,1994,1.0,1.0,45522,18.0,659.2,13845827.0,0.0,7402385.0,5608500.0,0.0,349.47,6.98,1990s,,0-1,0.0,53.46,40.51,0.0
NonResidential,Medical Office,Downtown,1925,1.0,18.0,363934,67.0,201.3,24589070.0,6352835.0,16867161.0,10989.0,0.0,608.53,1.47,1920s,,16-20,25.84,68.6,0.04,0.0
NonResidential,Supermarket/Grocery Store,East,1998,1.0,1.0,44739,18.0,733.8,15200272.0,0.0,8331082.0,6213799.0,0.0,388.09,7.87,2000s,,0-1,0.0,54.81,40.88,0.0
NonResidential,Educational Building,Northwest,1954,1.0,3.0,175015,95.0,85.8,8596269.0,0.0,2694187.0,4386042.0,0.0,251.72,1.37,1950s,,2-5,0.0,31.34,51.02,0.0
NonResidential,Hotel,Lake union,1990,1.0,7.0,282863,40.0,186.6,20123722.0,0.0,10638785.0,8190794.0,0.0,509.18,1.64,1990s,,6-10,0.0,52.87,40.7,0.0
Nonresidential COS,Large Office,Downtown,2003,1.0,8.0,199530,70.0,179.3,14294092.0,0.0,8654931.0,4518239.0,0.0,300.3,1.32,2000s,,6-10,0.0,60.55,31.61,0.0
NonResidential,Restaurant,Lake union,1962,1.0,2.0,34072,,387.9,7174807.0,0.0,2545181.0,3909002.0,0.0,225.35,6.29,1960s,,2-5,0.0,35.47,54.48,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1926,1.0,3.0,57620,50.0,172.7,2739528.0,0.0,2390383.0,0.0,0.0,16.66,0.11,1920s,,2-5,0.0,87.26,0.0,0.0
NonResidential,Worship Facility,Magnolia / queen anne,1953,1.0,2.0,31805,15.0,89.8,1895726.0,0.0,377287.0,1129897.0,0.0,62.64,1.92,1950s,,2-5,0.0,19.9,59.6,0.0
NonResidential,Retail Store,North,1950,1.0,2.0,302812,97.0,62.3,6962648.0,0.0,5702886.0,1431117.0,0.0,115.76,0.3,1950s,,2-5,0.0,81.91,20.55,0.0
NonResidential,Mixed Use Property,Lake union,1928,1.0,2.0,28800,,34.1,487023.0,0.0,224560.0,179413.0,0.0,11.09,0.35,1920s,,2-5,0.0,46.11,36.84,0.0
NonResidential,Other,Magnolia / queen anne,1961,1.0,3.0,22960,,164.5,2363442.0,0.0,594535.0,1447402.0,0.0,81.02,3.42,1960s,,2-5,0.0,25.16,61.24,0.0
Nonresidential COS,Other,East,1932,1.0,1.0,33087,,129.8,4086316.0,0.0,1287650.0,2034653.0,0.0,117.04,3.37,1930s,,0-1,0.0,31.51,49.79,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1920,1.0,8.0,60660,35.0,192.1,2835493.0,0.0,2876976.0,0.0,0.0,20.06,0.13,1920s,,6-10,0.0,101.46,0.0,0.0
SPS-District K-12,Educational Building,Delridge,1970,1.0,1.0,41526,72.0,114.7,2636908.0,0.0,878029.0,1159700.0,0.0,67.71,1.54,1970s,,0-1,0.0,33.3,43.98,0.0
NonResidential,Non-Refrigerated Warehouse,Central,1954,1.0,1.0,42000,,88.8,2378608.0,0.0,608905.0,1426004.0,0.0,79.98,1.84,1950s,,0-1,0.0,25.6,59.95,0.0
NonResidential,Mixed Use Property,Lake union,2003,1.0,5.0,159700,,595.3,28046502.0,0.0,18957965.0,8162202.0,0.0,565.65,3.03,2000s,,2-5,0.0,67.59,29.1,0.0
NonResidential,Worship Facility,Northwest,1948,1.0,2.0,21393,60.0,80.0,1025125.0,0.0,260288.0,552974.0,0.0,31.18,1.41,1950s,,2-5,0.0,25.39,53.94,0.0
SPS-District K-12,Educational Building,Central,1963,1.0,3.0,136188,67.0,93.8,6929738.0,0.0,2388755.0,3047400.0,0.0,178.5,1.24,1960s,,2-5,0.0,34.47,43.98,0.0
NonResidential,Small- and Mid-Sized Office,Magnolia / queen anne,1970,1.0,5.0,87178,86.0,178.6,3978308.0,0.0,3595056.0,0.0,0.0,25.06,0.11,1970s,,2-5,0.0,90.37,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,North,1987,1.0,4.0,80360,94.0,23.3,892300.0,0.0,446595.0,300200.0,0.0,19.06,0.21,1990s,,2-5,0.0,50.05,33.64,0.0
NonResidential,Distribution Center,Greater duwamish,1971,1.0,1.0,28320,30.0,155.6,2108965.0,0.0,1048584.0,769010.0,0.0,48.15,1.54,1970s,,0-1,0.0,49.72,36.46,0.0
NonResidential,Large Office,Downtown,1900,1.0,6.0,205521,93.0,134.1,8933559.0,1975527.0,4539701.0,1856327.0,0.0,282.72,1.28,1900s,,6-10,22.11,50.82,20.78,0.0
NonResidential,Other,Northwest,1970,1.0,1.0,23166,,149.3,3294645.0,0.0,11.0,3294634.0,0.0,174.98,7.55,1970s,,0-1,0.0,0.0,100.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1972,1.0,1.0,23232,,23.6,174969.0,0.0,174976.0,0.0,0.0,1.22,0.02,1970s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Senior Care Community,Central,1987,1.0,2.0,74840,48.0,241.6,8860011.0,0.0,4041593.0,4401357.0,0.0,261.93,3.27,1990s,,2-5,0.0,45.62,49.68,0.0
NonResidential,Distribution Center,Greater duwamish,1989,1.0,2.0,98024,77.0,82.9,3537786.0,0.0,2178171.0,1050250.0,0.0,70.96,0.63,1990s,,2-5,0.0,61.57,29.69,0.0
NonResidential,Mixed Use Property,Downtown,1978,1.0,2.0,38539,50.0,285.2,2376244.0,0.0,2308034.0,0.0,0.0,16.09,0.16,1980s,,2-5,0.0,97.13,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1974,1.0,1.0,43380,85.0,32.6,445387.0,0.0,430517.0,0.0,0.0,3.0,0.03,1970s,,0-1,0.0,96.66,0.0,0.0
NonResidential,Other,Ballard,1924,1.0,2.0,21528,,36.1,329960.0,0.0,205967.0,91757.0,0.0,6.31,0.25,1920s,,2-5,0.0,62.42,27.81,0.0
NonResidential,Hotel,Downtown,1908,1.0,3.0,28800,,275.2,5020278.0,0.0,1297371.0,3750619.0,0.0,208.24,7.04,1900s,,2-5,0.0,25.84,74.71,0.0
NonResidential,Supermarket/Grocery Store,Southwest,1946,1.0,2.0,25762,100.0,280.7,2303300.0,0.0,2347990.0,0.0,0.0,16.37,0.24,1940s,,2-5,0.0,101.94,0.0,0.0
NonResidential,Supermarket/Grocery Store,Northeast,1973,1.0,1.0,24377,7.0,914.8,10025450.0,0.0,5804711.0,3816026.0,0.0,243.13,8.95,1970s,,0-1,0.0,57.9,38.06,0.0
NonResidential,Large Office,Downtown,1929,1.0,14.0,137350,89.0,134.6,7353598.0,2367009.0,4211535.0,0.0,0.0,212.06,1.41,1930s,,11-15,32.19,57.27,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1913,1.0,4.0,53840,70.0,187.7,3062345.0,0.0,2304926.0,522988.0,0.0,43.84,0.63,1910s,,2-5,0.0,75.27,17.08,0.0
NonResidential,Other,East,1975,1.0,8.0,158738,,1034.8,64304304.0,6159137.0,50549240.0,10016476.0,15527.0,1359.77,7.2,1970s,,6-10,9.58,78.61,15.58,0.02
NonResidential,Small- and Mid-Sized Office,Lake union,1999,1.0,4.0,38038,81.0,175.2,2122753.0,0.0,2112183.0,0.0,0.0,14.72,0.15,2000s,,2-5,0.0,99.5,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,1970,1.0,7.0,94002,62.0,236.4,7070884.0,0.0,6833274.0,0.0,0.0,47.64,0.19,1970s,,6-10,0.0,96.64,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1963,1.0,1.0,31900,,107.0,1090032.0,0.0,1090077.0,0.0,0.0,7.6,0.09,1960s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Mixed Use Property,East,1908,1.0,4.0,55520,,105.2,3852835.0,0.0,858860.0,2536826.0,0.0,140.72,2.47,1900s,,2-5,0.0,22.29,65.84,0.0
NonResidential,Small- and Mid-Sized Office,Lake union,1960,1.0,2.0,34110,31.0,238.0,2585176.0,0.0,2559592.0,0.0,0.0,17.84,0.2,1960s,,2-5,0.0,99.01,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1979,1.0,1.0,22000,11.0,104.3,731092.0,0.0,731123.0,0.0,0.0,5.1,0.09,1980s,,0-1,0.0,100.0,0.0,0.0
Nonresidential COS,Other,North,1996,1.0,2.0,29258,,418.7,8682092.0,0.0,2578093.0,4904846.0,0.0,278.47,9.14,2000s,,2-5,0.0,29.69,56.49,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1927,1.0,1.0,22580,90.0,118.9,915300.0,0.0,857989.0,91022.0,0.0,10.82,0.32,1920s,,0-1,0.0,93.74,9.94,0.0
NonResidential,Large Office,Lake union,2001,1.0,5.0,176532,44.0,204.6,6743116.0,0.0,6743395.0,0.0,0.0,47.01,0.1,2000s,,2-5,0.0,100.0,0.0,0.0
SPS-District K-12,Educational Building,Magnolia / queen anne,1925,1.0,1.0,48789,89.0,86.0,1976900.0,0.0,893493.0,651900.0,0.0,40.85,0.76,1920s,,0-1,0.0,45.2,32.98,0.0
SPS-District K-12,Educational Building,Ballard,1958,1.0,1.0,39971,94.0,84.0,1927090.0,0.0,579552.0,919600.0,0.0,52.88,1.26,1960s,,0-1,0.0,30.07,47.72,0.0
Nonresidential COS,Other,Downtown,1922,1.0,2.0,37740,,196.3,3671239.0,0.0,1813369.0,1402659.0,0.0,87.14,2.1,1920s,,2-5,0.0,49.39,38.21,0.0
NonResidential,Other,Greater duwamish,1999,1.0,6.0,1585960,,106.9,59991984.0,0.0,50980399.0,9013708.0,0.0,834.11,0.39,2000s,,6-10,0.0,84.98,15.02,0.0
NonResidential,Other,Downtown,1927,1.0,4.0,32356,92.0,104.1,1463824.0,448146.0,855776.0,0.0,0.0,40.56,1.14,1920s,,2-5,30.61,58.46,0.0,0.0
NonResidential,Residence Hall,Northeast,1929,1.0,3.0,22124,75.0,101.4,714503.0,0.0,686977.0,0.0,0.0,4.79,0.08,1930s,,2-5,0.0,96.15,0.0,0.0
NonResidential,Senior Care Community,North,1998,1.0,5.0,43661,4.0,245.3,4264182.0,0.0,2708351.0,1213827.0,0.0,83.35,1.64,2000s,,2-5,0.0,63.51,28.47,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1954,1.0,1.0,78814,87.0,19.8,688110.0,0.0,399918.0,220582.0,0.0,14.5,0.16,1950s,,0-1,0.0,58.12,32.06,0.0
NonResidential,Small- and Mid-Sized Office,Greater duwamish,1970,1.0,2.0,28304,68.0,155.6,1347208.0,0.0,1261767.0,0.0,0.0,8.8,0.12,1970s,,2-5,0.0,93.66,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Southeast,2009,1.0,3.0,38075,,163.8,2068903.0,0.0,1800613.0,121351.0,0.0,19.0,0.3,2010s,,2-5,0.0,87.03,5.87,0.0
NonResidential,Large Office,Downtown,2000,1.0,11.0,312512,,263.1,26313108.0,0.0,26123609.0,190583.0,0.0,192.23,0.26,2000s,,11-15,0.0,99.28,0.72,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1970,1.0,1.0,44000,13.0,175.4,5600945.0,0.0,1036506.0,3444546.0,0.0,190.17,4.22,1970s,,0-1,0.0,18.51,61.5,0.0
NonResidential,Retail Store,North,1966,1.0,1.0,41615,63.0,167.9,2225403.0,0.0,2063298.0,0.0,0.0,14.38,0.13,1960s,,0-1,0.0,92.72,0.0,0.0
NonResidential,Residence Hall,Northeast,1926,1.0,4.0,23616,49.0,158.8,2096700.0,0.0,740501.0,1120430.0,0.0,64.67,2.6,1920s,,2-5,0.0,35.32,53.44,0.0
NonResidential,Refrigerated Warehouse,Greater duwamish,1961,1.0,1.0,25577,,101.0,945663.0,0.0,795546.0,184439.0,0.0,15.34,0.47,1960s,,0-1,0.0,84.13,19.5,0.0
NonResidential,Hotel,Greater duwamish,1992,1.0,3.0,22452,78.0,122.0,1381137.0,0.0,589893.0,764350.0,0.0,44.71,1.88,1990s,,2-5,0.0,42.71,55.34,0.0
Nonresidential COS,Other,Greater duwamish,2012,1.0,2.0,137138,,125.3,5529936.0,0.0,5396493.0,0.0,0.0,37.62,0.11,2010s,,2-5,0.0,97.59,0.0,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1964,1.0,1.0,33462,1.0,201.5,2147013.0,0.0,2147102.0,0.0,0.0,14.97,0.17,1960s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Central,1971,1.0,2.0,39953,92.0,142.1,1721208.0,0.0,1182519.0,370175.0,0.0,27.9,0.57,1970s,,2-5,0.0,68.7,21.51,0.0
NonResidential,Other,East,1945,1.0,0.0,274568,,196.1,26201518.0,13364736.0,11882142.0,0.0,0.0,1114.43,3.87,1940s,,,51.01,45.35,0.0,0.0
NonResidential,Retail Store,Northeast,1953,1.0,4.0,33910,72.0,165.4,1972811.0,0.0,1351956.0,501371.0,0.0,36.05,0.89,1950s,,2-5,0.0,68.53,25.41,0.0
NonResidential,Non-Refrigerated Warehouse,Delridge,1970,1.0,1.0,70400,1.0,488.4,14490864.0,0.0,9170509.0,4894474.0,0.0,323.87,4.04,1970s,,0-1,0.0,63.28,33.78,0.0
NonResidential,Non-Refrigerated Warehouse,Greater duwamish,1956,1.0,1.0,22509,73.0,18.4,132105.0,0.0,132110.0,0.0,0.0,0.92,0.02,1950s,,0-1,0.0,100.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,Downtown,1989,1.0,2.0,23472,,122.0,1050918.0,0.0,868385.0,190637.0,0.0,16.18,0.53,1990s,,2-5,0.0,82.63,18.14,0.0
